Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,3.793858705987473,0.8437231847898778,6.432857386133224,3.8865336367960786,5.233153073277254,-0.15424874675315756,-0.3690548295707785,1.695597512891263,21186.34873976762,179.2690961132441,21453.695380953395,21187.107077529443,426.1877543857845,0.6025693554861347,-1.6154239145623845,1.0126188162231067,1378.897884652151,234409.52477075934,89.07513578785755,212.70691102559167,47.73579963819809,127.82487038416019,193883711.1140508,414.8626533117055,414.8626533117055,414.8626533117055,F3-beztrytytki-01.CSV
2,3.7605568200354,0.8230865198199488,6.04191823791897,3.84956807082258,4.9871002055089235,-0.16388157132287062,-0.36049568718412006,1.6066552181126448,21185.078996709246,181.51636357870203,21453.695380953613,21185.85651250698,788.2978177330151,0.5312259939929527,-1.4688825301657646,1.0126795082655151,1398.088865072534,230029.34260558328,104.0677150532475,146.4589465819459,253.40934096633436,123.41522239351491,193209733.34795555,675.1847973268141,675.1847973268141,675.1847973268141,F3-beztrytytki-01.CSV
3,3.608165603112657,0.7994597482385513,6.085048035950854,3.6956616480074094,4.935406228340394,-0.18902298903573264,-0.3150135095428914,1.6864658403432105,21233.035665651234,186.94371355679965,21453.695380953613,21233.858508579215,426.1877543894989,0.08094443581176584,-1.9699002047815755,1.010392282986617,1374.5493056960734,218095.12821733273,379.1976802649535,77.10886211022766,149.891125907105,134.72238867230288,194509268.51187667,1013.8244047933197,1013.8244047933197,1013.8244047933197,F3-beztrytytki-01.CSV
4,3.615571735547695,0.7928946788075723,5.990535082585415,3.7014811037375672,4.946744033713024,-0.20164415595921548,-0.35040470893654874,1.6568707581397097,21242.774826984052,187.10293728321915,21453.695380953613,21243.598694269025,426.1877543894989,-0.022506852652852023,-1.976521562735461,1.0099290490855102,1382.5972328945013,220784.18896742654,23.504043417671763,254.95407520761174,271.5349451613262,133.5223599283572,194848311.0722737,690.0512353515298,690.0512353515298,690.0512353515298,F3-beztrytytki-01.CSV
5,3.6505020938280093,0.8093534331819924,6.282872219756892,3.7391358139580433,5.1654004394226085,-0.18244506136087588,-0.33554512627015143,1.721098100554303,21253.395274488605,186.69258539294825,21453.695380953613,21254.215122142952,426.1877543894989,-0.13619753694441145,-1.9586756934082075,1.0094243815577757,1386.1041219105794,222993.58555874927,225.7281620034983,140.3311483396027,73.3383962990787,134.12491751972638,195488343.92892712,369.76920055303447,369.76920055303447,369.76920055303447,F3-beztrytytki-01.CSV
6,3.6267100528566227,0.7767978208872518,5.938848096045679,3.7089574323749868,4.9099624096723025,-0.19847229939917507,-0.31760781644850544,1.6375304365365166,21261.60718718614,186.03465834820065,21453.695380953613,21262.42095223872,426.1877543894989,-0.22490287527919817,-1.928653266756888,1.0090345095775846,1383.4677637510529,214323.3601283321,425.19880506287626,202.6000704432958,95.2204655086582,129.7184797843509,194811485.64055404,692.9616229054755,692.9616229054755,692.9616229054755,F3-beztrytytki-01.CSV
7,3.613600176985812,0.788380500086047,5.8422297114944355,3.698590590894213,4.716425585402561,-0.18289532819890683,-0.2764575108392946,1.6167338458477647,21260.361589454315,186.1486769538468,21453.695380960868,21261.176400022174,426.18775439720775,-0.21093231929139497,-1.9341865987148148,1.0090936266861261,1393.484118831289,220039.00522673735,209.3691469842907,114.3935805286538,46.138186138555156,132.78050810877673,194851598.72051784,402.6984597153174,402.6984597153174,402.6984597153174,F3-beztrytytki-01.CSV
8,3.621954439307815,0.7927410912688464,6.062898327459426,3.707683082924292,4.776160326892248,-0.21117562725266534,-0.3436105768972113,1.6739300366843088,21221.65176825258,186.24400802030448,21453.695380960868,21222.468901323606,426.18775439720775,0.20318312571377323,-1.937740516815711,1.0109342861357957,1378.3392012828192,219357.84518400527,217.78435037181052,62.464282855480135,269.49624159862185,133.18835219534515,195080166.7155737,833.4188066677744,833.4188066677744,833.4188066677744,F3-beztrytytki-01.CSV
9,3.5645254336639836,0.7991997457812824,5.872354764166778,3.6530099864173753,4.88364994614207,-0.16197560431702512,-0.32081506391300074,1.6474436424852696,21285.726027755263,181.72389273283838,21453.695380960868,21286.501637749243,426.18775439720775,-0.49452303843857776,-1.7334235479504854,1.0078911733142943,1386.764112620551,222361.47028797984,387.8177909048664,198.94186236357683,101.43997118446424,130.8626468952183,195049380.76568145,322.5033605008363,322.5033605008363,322.5033605008363,F3-beztrytytki-01.CSV
1,3.691113783137421,0.7924269184777374,5.847658876919508,3.77520633722748,4.782407665938878,-0.23196615206200974,-0.3164976604198686,1.5842532147435018,21227.055708276886,186.62454701944108,21453.695380953395,21227.875975006315,426.1877543857845,0.14617523243807157,-1.9554249398049248,1.0106769245716984,1379.985548120744,219698.7988975158,197.33799234696022,310.2804282003319,146.26325741659116,134.56784763284796,195098578.9235883,775.4508317569276,775.4508317569276,775.4508317569276,F3-beztrytytki-02.CSV
