Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,5.5132200000000005,1.0553363634536153,8.719999999999999,5.6133109659095135,6.32,0.013290796154009457,-0.39569299711944783,1.5816528272044286,24004.711884753902,71.48873164887587,24489.795918371154,24004.818328606092,960.384153667801,3.04472174561233,42.34169878102206,1.0202078673531316,1868.183490836018,507411.8033553198,94.7486876682462,47.18102512003641,107.75819859688534,106.38080143718206,407628993.3195627,21.885604373711754,21.885604373711754,21.885604373711754,F8-beztrytytki-01.CSV
2,5.35322,1.0464102768533072,8.719999999999999,5.454527513909889,6.399999999999999,0.025600036043056204,-0.41144862498588,1.628926141649325,24050.51020408163,148.96240445514425,24489.795918371154,24050.971487399704,489.79591837490443,2.609971700108349,4.811952275366615,1.0182651307835857,2013.3505812164547,568149.1013259196,345.7984775442692,55.11490255979041,312.9636991309212,210.4284740983576,432957808.33602875,4.754982349787232,4.754982349787232,4.754982349787232,F8-beztrytytki-01.CSV
3,5.2283,0.9488250506869268,8.239999999999998,5.313693028393718,6.0,0.00032425945652420773,-0.34632595520444687,1.576038100338542,24097.959183673473,195.92449008281645,24489.795918371154,24098.755586640906,489.79591837490443,1.4999999999999205,0.24999999999984057,1.0162601626017838,1978.423042261931,486154.16851968353,154.57447488516308,15.446645922740386,113.9891966986122,253.77240657708754,443148331.23087496,0.05322224988095052,0.05322224988095052,0.05322224988095052,F8-beztrytytki-01.CSV
4,5.109475000000001,0.9267060474504023,8.079999999999998,5.192828246726441,5.759999999999998,0.03403215716495384,-0.3247799676300369,1.581375777354816,24099.48979591838,197.0631969373305,24489.795918371154,24100.29543180004,489.79591837490443,1.4757977110230844,0.1779788838610621,1.016195617656556,1936.8765202073039,443089.36559293733,84.24771927427392,20.769773609595067,60.38605985191461,241.21332038659406,439415063.89519405,4.73293788670207,4.73293788670207,4.73293788670207,F8-beztrytytki-01.CSV
5,5.000100000000001,0.9360407847801954,8.32,5.0869556318096585,6.080000000000002,0.08114965690695208,-0.31443175219460606,1.6639667206655866,24094.897959183672,193.59068352283145,24489.795918371154,24095.675601109124,489.79591837490443,1.549709779313457,0.40160040009985076,1.0163892770932845,1972.692447700426,451263.11392974434,56.955995799159744,60.33889992101354,176.02727237029916,237.36561611268968,437078755.0382223,0.11372407412313465,0.11372407412313465,0.11372407412313465,F8-beztrytytki-01.CSV
6,4.936439999999999,0.9660319107065181,8.16,5.030069502501929,6.559999999999999,0.08149921366735513,-0.3193464472266352,1.6530131025597394,24131.632653061213,217.13803823659526,24489.795918371154,24132.60948350036,489.79591837490443,1.0432888382799166,-0.9115483999205254,1.0148420652037609,2019.466970730803,494629.4220797101,130.66576616779636,68.89867651917655,465.98233127578834,299.59661865596166,453982768.26162374,0.3602241346066761,0.3602241346066761,0.3602241346066761,F8-beztrytytki-01.CSV
7,4.85966,0.9980110901355246,7.920000000000002,4.961074399764632,6.16,0.09954282824382732,-0.3622040886146647,1.6297436446171136,24153.275510204094,227.12014712033658,24489.795918371154,24154.343257664455,489.79591838343185,0.8068444255353577,-1.3490020729825054,1.0139327027518437,2055.1833781717287,514348.55203726876,107.07973879225497,307.7640537882575,360.5341093170515,325.71688553399684,459163706.13813746,489.60365206565154,489.60365206565154,489.60365206565154,F8-beztrytytki-01.CSV
8,4.807195,1.0479135769012828,8.16,4.920079064405368,6.559999999999999,0.0877858293077945,-0.34161368295235484,1.6974555848056923,24194.173469387762,239.59470862066613,24489.795918371154,24195.359718412416,489.79591838343185,0.42343234792336565,-1.8207050467321062,1.0122187455321603,2032.1957525127082,558599.2417871275,121.24328993254625,98.20124753927334,115.41630706166261,329.86126829670155,459599432.7565835,489.547613547978,489.547613547978,489.547613547978,F8-beztrytytki-01.CSV
9,4.749325,1.040156942378914,8.079999999999998,4.861887164466078,6.479999999999997,0.07560594584750166,-0.3483822815077606,1.7012943944665817,24208.163265306106,242.13474968507012,24489.795918371154,24209.374098732784,489.79591838343185,0.30343304245454195,-1.9079283887467877,1.0116337885686961,1923.4268325604714,529526.5565027371,100.89654997975293,59.26191321428003,112.39608706413114,303.7154408537917,453556961.7726396,0.27465634301254727,0.27465634301254727,0.27465634301254727,F8-beztrytytki-01.CSV
1,5.156795,0.9813478069445566,8.32,5.249335005503078,6.240000000000002,0.07802861625982024,-0.32772753673210087,1.6134052255325257,24133.163265306124,217.92966050998706,24489.795918371154,24134.14716865954,489.79591837490443,1.0254518406439135,-0.9484485225199593,1.0147777002601943,2046.018377446007,512201.4400376777,204.8938163929262,552.542716365767,242.30587445243657,303.71752337745625,455856513.0170653,4.704146562425654,4.704146562425654,4.704146562425654,F8-beztrytytki-02.CSV
