Experiment ID,CURRENT (A) mean,CURRENT (A) std,CURRENT (A) max,CURRENT (A) rms,CURRENT (A) peak_to_peak,CURRENT (A) skew,CURRENT (A) kurtosis,CURRENT (A) crest_factor,ROTO (RPM) mean,ROTO (RPM) std,ROTO (RPM) max,ROTO (RPM) rms,ROTO (RPM) peak_to_peak,ROTO (RPM) skew,ROTO (RPM) kurtosis,ROTO (RPM) crest_factor,CURRENT (A) Frequency Center,CURRENT (A) Spectrum Area,CURRENT (A) Amp @ 1x RPM,CURRENT (A) Amp @ 2x RPM,CURRENT (A) Amp @ 3x RPM,ROTO (RPM) Frequency Center,ROTO (RPM) Spectrum Area,ROTO (RPM) Amp @ 1x RPM,ROTO (RPM) Amp @ 2x RPM,ROTO (RPM) Amp @ 3x RPM,Source_File
1,3.04202,0.975979637654301,6.079999999999998,3.194739801611392,6.319999999999997,-0.08149641688797463,-0.2722159345808093,1.9986719350957582,21814.76280663781,133.70094706965676,22222.22222222284,21815.172498421118,793.6507936524504,-0.04047598193978597,5.791750105616744,1.0186781501681534,2552.976735275037,563322.1523798666,364.8117576739306,602.9939466897915,489.9535751133844,211.58666823721518,393082539.26900965,2796.482911167873,2796.482911167873,2796.482911167873,NOWY-trytytka-01.CSV
2,3.042425,0.9765386429156625,6.079999999999998,3.195296230398678,6.719999999999999,-0.08988040685613016,-0.22439170721621515,1.9984058768909663,21804.441738816735,147.64975580700454,22222.22222222284,21804.94161031657,793.6507936558482,-0.29345622873872423,4.06654570988576,1.0191603384489485,2493.780916403161,554282.685096341,260.72436588476984,98.85973788780947,323.255742289296,251.94511621657972,398515157.00432944,473.00038059370144,473.00038059370144,473.00038059370144,NOWY-trytytka-01.CSV
3,3.02948,1.0067912799545833,6.239999999999998,3.1923838115113914,6.639999999999997,-0.07581613166194799,-0.2468412584159263,2.059759430661367,21792.140151515137,157.86587201616814,22222.22222222284,21792.71191153647,793.6507936558482,-0.4487934011186295,2.9419975624367716,1.0197356509143871,2540.3260049621226,592072.8630091879,677.312869574619,343.03998244242575,929.1956512635496,240.43391677609492,397762123.9127767,4079.1339724069367,4079.1339724069367,4079.1339724069367,NOWY-trytytka-01.CSV
4,3.009475,0.9867538089956768,6.0,3.167106250191174,6.239999999999998,-0.09351849600029444,-0.24752916694276195,1.993703220661411,21779.986471861484,159.90396963773134,22222.22222222284,21780.57341751808,793.6507936558482,-0.645076719038354,2.4221472934759234,1.0203046843455437,2541.5509070053536,570122.4302735113,17.61374057827712,468.908864814015,737.5335691900333,254.27097007829673,399948568.03833455,2625.3195105873874,2625.3195105873874,2625.3195105873874,NOWY-trytytka-01.CSV
5,3.0434,0.9873628362135394,6.399999999999999,3.1995480930906477,6.719999999999999,-0.10835788482305818,-0.2441910828127445,2.1029112177170264,21815.05591630592,133.35553597130874,22222.22222222284,21815.463488522237,793.6507936558482,-0.028903528708288793,5.8405047465129964,1.0186644630882007,2505.7696964617935,556447.4796283321,313.4849011208754,859.9981052206023,67.61444890217784,224.20157628820508,393870249.8435541,2412.56492143596,2412.56492143596,2412.56492143596,NOWY-trytytka-01.CSV
6,3.04006,0.9983561944983365,6.079999999999998,3.199783992709508,6.479999999999997,-0.13950303666591476,-0.2478063678009823,1.9999605270948597,21813.717532467523,143.10730585778063,22222.22222222284,21814.186920609474,793.6507936558482,-0.04525319784161039,4.669025515734299,1.0187269633957303,2563.9930882233566,578597.7236738198,952.5341713822114,765.5948306364634,324.18820422683547,220.64575548494543,394487230.70038956,2061.173814152671,2061.173814152671,2061.173814152671,NOWY-trytytka-01.CSV
7,3.01431,1.0097848052850467,6.079999999999998,3.178941081555303,6.479999999999997,-0.10181914622663375,-0.22999345928752168,2.0170453602980443,21816.420454545474,139.43951068777892,22222.222222230153,21816.86603551115,793.6507936631606,0.039124758311378134,5.0991891368633055,1.018600749308539,2557.202852825929,582574.1183275726,420.78557706185404,696.6863364867394,486.84398161426634,219.80424211732213,393772478.2522156,2214.5044146244695,2214.5044146244695,2214.5044146244695,NOWY-trytytka-01.CSV
8,3.03004,0.9955329935624093,6.079999999999998,3.1893833886818936,6.399999999999999,-0.09358086829107941,-0.20957395744505236,2.006574170638011,21835.89195526691,154.24744402890877,22222.222222230153,21836.4367118141,793.6507936631606,0.5085519841205451,3.4711114140586528,1.0176924426881522,2520.751687796289,585107.2206841721,620.6917274178006,699.9724216786592,166.73681974484646,254.34663908194196,399745842.7322378,2096.041447940147,2096.041447940147,2096.041447940147,NOWY-trytytka-01.CSV
1,3.041195,0.9958113021473202,6.0,3.2000695617439314,6.640000000000001,-0.1243513559379313,-0.1841398787657682,1.9729086757014922,21805.33549783549,126.11120883593331,22222.22222222284,21805.70015422931,793.6507936524504,-0.5860799964271373,6.598013983645984,1.0191185650149128,2509.1751845935623,572784.5098996494,226.12800578375163,148.41207926814187,256.70718189562484,197.4418645632617,389320731.1538541,446.40590362756876,446.40590362756876,446.40590362756876,NOWY-trytytka-02.CSV
2,3.03928,0.9699438545826059,6.0,3.1902907704471075,6.559999999999999,-0.14259982164583648,-0.15790359510070573,1.9741517727882918,21860.39411976912,154.01461988704042,22222.22222222284,21860.936624313326,793.6507936524504,1.0769475411401634,2.6781544856746056,1.0165517648250684,2520.4497633268584,548657.4146391107,407.60382462375014,679.3169818993183,500.95520931024123,255.01869387934133,401362335.0754671,1293.6767733831168,1293.6767733831168,1293.6767733831168,NOWY-trytytka-02.CSV
